Team,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Arsenal,8,8,5,6,5,2,3,4,4,3,4,3,4,3,4,4,2,1
Aston Villa,11,17,,,,20,17,15,15,16,9,6,6,6,11,16,10,6
Birmingham,,,,,,,,,,,18,9,,19,,18,12,10
Blackburn,,,,,,,,,,19,15,10,15,7,10,6,15,15
Blackpool,,,,,,,,,,,19,,,,,,,
Bolton,,,,,,,,,,18,14,14,13,16,7,8,6,8
Bournemouth,,18,14,12,9,16,,,,,,,,,,,,
Brighton,16,15,17,15,,,,,,,,,,,,,,
Bradford,,,,,,,,,,,,,,,,,,
Burnley,17,10,15,7,16,,19,,,,,18,,,,,,
Cardiff,,,18,,,,,20,,,,,,,,,,
Charlton,,,,,,,,,,,,,,,19,13,11,7
Chelsea,4,4,3,5,1,10,1,3,3,6,2,1,3,2,2,1,1,2
Coventry,,,,,,,,,,,,,,,,,,
Crystal Palace,14,14,12,11,14,15,10,11,,,,,,,,,18,
Derby,,,,,,,,,,,,,,20,,,,
Everton,10,12,8,8,7,11,11,5,6,7,7,8,5,5,6,11,4,17
Fulham,18,,19,,,,,19,12,9,8,12,7,17,,12,13,9
Huddersfield,,,20,16,,,,,,,,,,,,,,
Hull,,,,,18,,18,16,,,,19,17,,,,,
Ipswich,,,,,,,,,,,,,,,,,,
Leeds,9,,,,,,,,,,,,,,,,,19
Leicester,5,5,9,9,12,1,14,,,,,,,,,,,18
Liverpool,3,1,2,4,4,8,6,2,7,8,6,7,2,4,3,3,5,4
Man City,1,2,1,1,3,4,2,1,2,1,3,5,10,9,14,15,8,16
Man United,2,3,6,2,6,5,4,7,1,2,1,2,1,1,1,2,3,3
Middlesboro,,,,,,,,,,,,,19,13,12,14,7,11
Middlesbrough,,,,,19,,,,,,,,19,13,12,14,7,11
Newcastle,12,13,13,10,,18,15,10,16,5,12,,18,12,13,7,14,5
Norwich,,20,,,,19,,18,11,12,,,,,,,19,
Portsmouth,,,,,,,,,,,,20,14,8,9,17,16,13
QPR,,,,,,,,,20,17,,,,,,,,
Reading,,,,,,,20,,19,,,,,18,8,,,
Sheffield United,20,9,,,,,,,,,,,,,18,,,
Southampton,15,11,16,17,8,6,7,8,14,,,,,,,,20,12
Stoke,,,,19,13,9,9,9,13,14,13,11,12,,,,,
Sunderland,,,,,20,17,16,14,17,13,10,13,16,15,,20,,
Swansea,,,,18,15,12,8,12,9,11,,,,,,,,
Tottenham,7,6,4,3,2,3,5,6,5,4,5,4,8,11,5,5,9,15
Watford,,19,11,14,17,13,,,,,,,,,20,,,
West Brom,19,,,20,10,14,13,17,8,10,11,,20,,,19,17,
West Ham,6,16,10,13,11,7,12,13,10,,20,17,9,10,15,9,,
Wigan,,,,,,,,,18,15,16,16,11,14,,10,,
Wolves,13,7,7,,,,,,,20,17,15,,,,,,20
Wimbledon,,,,,,,,,,,,,,,,,,
